srno,topic,type,question,option1,option2,option3,option4,correct_option_text,as_response,preethi ma'am response_as,mg_response,preethi ma'am response_mg,correct_option,predictions
126,Anxiety,Diagnostic,What primary risk factor is associated with increased psychological distress among women during pregnancy?,Low maternal age,Previous childbirth experience,High-risk pregnancy,Dietary habits,High-risk pregnancy,Y,Y,Y,Y,3,2
127,Depression,Diagnostic,Which endocrine-disrupting compound was identified as having significant serum concentration differences between patients with major depressive disorder and healthy controls?,Bisphenol S,Di-ethyl-hexyl-phthalate,Butyl-benzyl-phthalate,Di-n-butyl phthalate,Di-n-butyl phthalate,Di-n-Butyl-phthalate,Ans-  Di-n-Butyl-phthalate,Y,Y,1,4
128,Anxiety,Diagnostic,"Among individuals diagnosed with cannabis use disorder, which psychiatric disorders are more prevalent in women compared to men?",Personality disorders,Substance use disorders,Mood and anxiety disorders,Psychotic disorders,Mood and anxiety disorders,Y,Y,Y,Y,3,4
129,Anxiety,Diagnostic,Which therapeutic process is identified as the strongest predictor of emotional distress in relation to repetitive negative thinking?,Cognitive fusion,Evidence-based practices,Positive thinking,Self-reinforcement,Cognitive fusion,Y,Y,Y,Y,1,1
131,Anxiety,Prognostic,What is likely to be worse for patients experiencing both anxiety and depression when undergoing lumbar fusion surgery?,Patient-reported outcomes,Post-surgery mobility,Surgical recovery time,Infection rates,Patient-reported outcomes,Y,Y,Y,Y,1,3
132,Anxiety,Diagnostic,What neurotransmitter receptor's increased expression is associated with anxiety-like behavior in the context of sleep apnea?,N-Methyl-D-Aspartate receptor,Serotonin receptor,Norepinephrine receptor,Dopamine receptor,N-Methyl-D-Aspartate receptor,Y,Y,Y,Y,1,1
133,Anxiety,Diagnostic,What type of anxiety was identified as a significant predictor of gastrointestinal symptoms in college students?,Trait-cognitive anxiety,Trait-somatic anxiety,State-somatic anxiety,General anxiety disorder,Trait-somatic anxiety,Y,Y,Trait Somatic anxiety,Trait Somatic anxiety,2,3
134,Anxiety,Factoid,"Among children and adolescents, which symptom was identified as a more significant predictor of self-perceived quality of life?",Behavioral symptoms,Social symptoms,Depressive symptoms,Anxiety symptoms,Depressive symptoms,Y,Y,Depressive symptoms,Depressive symptoms,3,3
136,Anxiety,Preventive,What demographic factors increase the likelihood of needle fear among children during vaccination?,Family size and school performance,School type and co-sleeping,Examination scores and parent involvement,Age and gender,Age and gender,Y,Y,Y,Y,4,4
137,Anxiety,Diagnostic,What did the negative urgency subscale of the UPPS-P predict in relation to response inhibition?,Enhanced cognitive control under threat,Improved reaction times during stress,Impaired response inhibition under threatening conditions,No effect on response inhibition,Impaired response inhibition under threatening conditions,Y,Y,Y,Y,3,1
138,Anxiety,Factoid,Which medication has been noted for its significant impact on reducing anxiety and stress scores compared to efavirenz?,Rilpivirine,Raltegravir,Efavirenz,Atripla,Raltegravir,Y,Y,Y,Y,2,1
139,Anxiety,Preventive,"Which neuropeptide has been shown to reduce anxiety-like behavior in alcohol-preferring rats, thereby potentially serving as a preventive measure for alcohol intake?",Substance P,Neuropeptide Y,Oxytocin,Corticotropin-releasing hormone,Neuropeptide Y,Y,Y,Y,Y,2,4
140,Anxiety,Diagnostic,What factor does sleep reactivity level potentially affect regarding cognitive-behavioral therapy for insomnia treatment outcomes?,Sleep efficiency,Sleep onset latency,Sleep duration,Sleep quantity,Sleep efficiency,Y,Y,Y,Y,1,2
142,Anxiety,Diagnostic,What behavioral indicator might suggest a relationship between social media usage and psychological distress?,Elevated social media engagement,Lower communication skills,Reduced physical activity,Increased sleep quality,Elevated social media engagement,Y,Y,Y,Y,1,4
143,Anxiety,Diagnostic,Which psychological factors primarily contribute to preoperative anxiety identified in patients awaiting surgery?,Length of hospital stay,Nutritional concerns,Cost of surgery,Surgical procedures,Surgical procedures,Y,Y,Y,Y,4,4
144,Anxiety,Diagnostic,What factors have been suggested to motivate psychotic patients to use cannabis despite its adverse effects on their recovery?,To cope with physical pain,To obtain relief from depression,To enhance cognitive function,To reduce sleep disturbances,To obtain relief from depression,Y,Y,Y,Y,2,1
145,Anxiety,Diagnostic,What underlying biological mechanisms are suggested to potentially explain the adverse outcomes associated with maternal anxiety during pregnancy?,Genetic predisposition to anxiety,Altered neurotransmitter levels,Epigenetic changes in DNA methylation,Increased maternal cortisol levels,Epigenetic changes in DNA methylation,Y,Y,Y,Y,3,3
146,Anxiety,Factoid,Which psychological conditions were identified as being associated with sleep disturbance in patients with chronic dizziness?,Depression,Both Anxiety and Depression,Neither Anxiety nor Depression,Anxiety,Both Anxiety and Depression,Y,Y,Y,Y,2,1
147,Anxiety,Preventive,What is a suggested method to support the psychological well-being of NHS staff during high-stress periods like a pandemic?,Meditation camps,Digital psychological interventions,Pharmaceutical treatments,In-person therapy sessions,Digital psychological interventions,Y,Y,Y,Y,2,4
148,Anxiety,Preventive,What strategy could be employed to improve adherence to treatment in children and adolescents receiving long-acting injectable antipsychotics?,Enhance clinical monitoring,Use oral medications instead,Reduce therapy sessions,Increase dosage frequency,Enhance clinical monitoring,Y,Y,Y,Y,1,3
149,Anxiety,Preventive,What method is suggested to potentially alleviate social anxiety before a face-to-face interaction?,Meditation,Medication,Group therapy,Internet chat introduction,Internet chat introduction,Y,Y,Y,Y,4,4
150,Anxiety,Preventive,"What strategies may help limit the risks associated with the withdrawal of pregabalin, particularly concerning anxiety?",Increased dosage,Immediate cessation,Single medication therapy,Gradual dosage reduction,Gradual dosage reduction,Y,Y,Y,Y,4,3
151,Anxiety,Diagnostic,How does the prefrontal hemodynamic response relate to suicide risk in adults with Autism Spectrum Disorder?,It is uncorrelated,It is negatively correlated,It is positively correlated,It varies randomly,It is positively correlated,Y,Y,Y,Y,3,3
152,Anxiety,Prognostic,How might anxiety symptomatology affect the participation of children on the autism spectrum in community activities?,Enhance involvement in activities,Reduce frequency of participation,Lead to increased participation,Improve social interactions,Reduce frequency of participation,Y,Y,Y,Y,2,4
153,Anxiety,Preventive,Which proven program aims to enhance parenting practices and communal resilience to mitigate anxiety among Indigenous youth?,Weaving Healthy Families,Resilient Parenting Program,Community Support Initiative,Cultural Awareness Training,Weaving Healthy Families,Y,Y,Y,Y,1,3
154,Anxiety,Factoid,Which type of therapy was compared to transdiagnostic cognitive-behavioral therapy in the treatment of anxiety disorders?,Medication therapy,Diagnosis-specific cognitive-behavioral therapy,Relaxation-based therapy,Psychoanalytic therapy,Diagnosis-specific cognitive-behavioral therapy,Y,Y,Y,Y,2,1
155,Anxiety,Prognostic,How does the cortisol response to low intensity exercise during cognitive-behavioral therapy predict treatment outcomes in panic disorder?,Higher cortisol levels indicate better outcomes,Lower cortisol response correlates with lower treatment outcomes,No relationship between cortisol response and outcomes,Higher heart rate predicts treatment failure,Lower cortisol response correlates with lower treatment outcomes,Y,Y,Y,Y,2,4
156,Anxiety,Preventive,How might psychological resilience impact substance misuse during stressful events like the COVID-19 pandemic?,Increase risk of substance misuse,Have no effect on substance misuse,Worsen anxiety levels,Serve as a buffer against substance misuse,Serve as a buffer against substance misuse,Y,Y,Y,Y,4,4
157,Anxiety,Diagnostic,What are the distinct emotional responses young people have to the climate change crisis compared to the COVID-19 pandemic?,Excitement and joy,Contentment and peace,Shame and guilt,Fear and relief,Shame and guilt,Y,Y,Y,Y,3,1
158,Anxiety,Factoid,Which mental health symptoms were searched more frequently in shortage areas compared to nonshortage areas?,Analytical thinking,Obsessive thoughts,Binge eating,Anxiety,Anxiety,Y,Y,Y,Y,4,1
159,Anxiety,Factoid,What behavioral characteristics were associated with the 3q29 microdeletion syndrome in the reported case?,Obsessive Compulsive Tendencies,Bipolar Disorder,Eating Disorder,Schizophrenia,Obsessive Compulsive Tendencies,Y,Y,Y,Y,1,4
160,Anxiety,Prognostic,What type of living environment may contribute to a reduced risk of negative emotional experiences during a crisis?,Isolated regions,Urban areas,Suburban areas,Rural areas,Rural areas,Y,Y,Y,Y,4,4
162,Anxiety,Diagnostic,What does inhibition of the MgN-amygdala pathway suggest about its role in fear-related disorders?,It reduces contextual fear expression,It increases anxiety levels,It enhances fear learning,It has no impact on fear memory,It reduces contextual fear expression,Y,Y,Y,Y,1,2
163,Anxiety,Preventive,What factors could be addressed to improve resilience during situations of pandemic-related stress for individuals with chronic medical conditions?,Decreasing social interactions,Providing medication for anxiety,"Enhancing social support, and trust in government",Increasing financial support,"Enhancing social support, and trust in government",Y,Y,Y,Y,3,3
164,Anxiety,Prognostic,Which factor significantly predicts increased binge drinking among middle-aged and older adults during the COVID-19 pandemic?,Older age,Positive screen for depression,Living alone,Higher education,Positive screen for depression,Y,Y,Y,Y,2,4
165,Anxiety,Diagnostic,Which thyroid antibody is identified as a predictor of anxiety symptoms specifically in female patients with major depressive disorder?,Free thyroxine (FT4),Thyroid peroxidase antibody (A-TPO),Thyroid-stimulating hormone (TSH),Anti-thyroglobulin antibody (A-TG),Anti-thyroglobulin antibody (A-TG),Y,Y,Y,Y,4,4
167,Anxiety,Prognostic,How does fear of COVID-19 potentially influence the levels of anxiety among individuals with pre-existing health conditions?,It eliminates anxiety completely,It might reduce anxiety levels,It has no impact on anxiety,It may exacerbate anxiety levels,It may exacerbate anxiety levels,Y,Y,Y,Y,4,2
168,Anxiety,Prognostic,How might perceived stress in adolescents correlate with academic challenges in relation to suicidal thoughts?,Decrease suicidal thoughts,No effect on suicidal thoughts,Promote resilience,Increase suicidal thoughts,Increase suicidal thoughts,Y,Y,Y,Y,4,4
