id,topic,type,question,option1,option2,option3,option4,correct_option,correct_option_number,predictions
30141350,Depression,Preventive,Which protective factor is highlighted as beneficial in preventing depressive symptoms among Somali youth?,Reduced family connectedness,Increased school dropout rates,High media consumption,Empowerment and community support,Empowerment and community support,4,3.0
21216268,Depression,Factoid,Which antidepressant is noted for inhibiting glutamate release in rat cerebral cortex nerve terminals?,Fluoxetine,Citalopram,Bupropion,Sertraline,Bupropion,3,2.0
33691489,Depression,Diagnostic,Which factor significantly affects the engagement of parents in home visitation services due to depressive symptoms?,Education level,Age of parents,Socioeconomic status,Severity of baseline symptoms,Severity of baseline symptoms,4,4.0
36167589,Depression,Preventive,What treatment has shown potential to improve mood disorders in patients suffering from small intestinal bacterial overgrowth?,Increased dietary fiber,Probiotics,Rifaximin treatment,Higher doses of antidepressants,Rifaximin treatment,3,2.0
34431616,Depression,Diagnostic,Higher levels of resilience in individuals with schizophrenia were associated with lower severity of which symptoms?,Positive symptoms,Cognitive deficits,Psychotic symptoms,Mania symptoms,Cognitive deficits,2,3.0
35389147,Anxiety,Factoid,What is a potential risk factor for higher levels of anxiety symptoms among high school students regarding alcohol use?,Using alcohol only with parental permission,Drinking alcohol at home,Not using alcohol at all,Using alcohol without parental permission,Using alcohol without parental permission,4,3.0
21793631,Anxiety,Preventive,What intervention was shown to significantly improve anxiety levels post coronary artery bypass graft surgery?,Psychological counseling,Physical therapy,Inspiratory muscle training,Medication adjustments,Inspiratory muscle training,3,1.0
36245498,Anxiety,Preventive,What dual compound combination was studied for its potential anti-anxiety effects in mice?,Magnesium and vitamin D,Caffeine and dopamine,Casein hydrolysate and GABA,Trytophan and serotonin,Casein hydrolysate and GABA,3,2.0
21871368,Trauma,Diagnostic,What is one common reason reported for nonsuicidal self-injury among American Indian youth?,Peer pressure/copying,Physical illness,Academic stress,Family conflict,Family conflict,4,3.0
34795422,Trauma,Diagnostic,What aspect of media exposure is identified as a potential factor for developing post-traumatic stress in youth following a disaster?,Exposure to immediate danger,Self-reported objective exposure,Geographical distance from the event,Duration of media consumption,Duration of media consumption,4,4.0
34271036,Anxiety,Prognostic,How might chronic stress influence the behavioral phenotypes in individuals with genetic deficiencies related to En2?,Enhance social interaction,Reduce motivation,Exacerbate avoidance behaviors,Improve cognitive functions,Exacerbate avoidance behaviors,3,4.0
20660942,Anxiety,Prognostic,How does maternal affection at 8 months influence emotional distress in adulthood?,No effect,Decreases distress,Increases distress,Only affects male offspring,Decreases distress,2,2.0
33812347,Anxiety,Preventive,What role does sensitive parenting play in mitigating the development of anxiety symptoms in children?,Buffers long-term emotional development,Reduces positive correlation with anxiety,Encourages healthy relationships,Promotes emotional distress,Buffers long-term emotional development,1,3.0
27367831,Depression,Diagnostic,What factors are significantly associated with anxiety and depression in rheumatoid arthritis patients?,Male gender,Low education level,High socioeconomic status,Increased age,Low education level,2,3.0
33963973,Depression,Factoid,Which construct is notably affected in men with prostate cancer that influences their quality of life?,Cardiovascular fitness,Bone health,Body image,Respiratory function,Body image,3,3.0
24343935,Depression,Diagnostic,Which characteristic is more prevalent in suicidal adolescents diagnosed with borderline personality disorder compared to those without?,Shorter duration of suicidal ideation,Lower levels of impulsivity,Less co-morbidity,Higher aggression scores,Higher aggression scores,4,4.0
36038679,Anxiety,Preventive,Which channels are targeted by potential anxiolytic agents to help alleviate anxiety disorders?,Calcium and potassium channels,Dopamine and norepinephrine receptors,TRPV and ASIC channels,GABA and serotonin receptors,GABA and Serotonin receptors,4,4.0
33578343,Depression,Diagnostic,What coping strategy was significantly linked to increased depression among younger men who have sex with men (MSM) in the context of stress?,Adaptive coping,Avoidant coping,Cognitive reappraisal,Expressive suppression,Avoidant coping,2,3.0
27330035,Anxiety,Diagnostic,Which self-conscious emotion is reported to be higher in individuals with COPD compared to healthy controls?,Shame,Empathy,Compassion,Pride,Shame,1,3.0
35396940,Anxiety,Factoid,Which substance has been shown to alleviate PTSD-like symptoms in a mouse model?,Sertraline,Diazepam,Fluoxetine,Cannabidiol,Cannabidiol,4,1.0
34231201,Depression,Prognostic,How does the number of traumatic brain injuries relate to the risk of developing depression over time?,Higher number correlates with increased risk,Fewer TBIs increase depression risk,No relation between TBIs and depression risk,Only first TBIs increase risk,Higher number correlates with increased risk,1,1.0
33569820,Depression,Preventive,"To improve recovery-oriented practice in mental healthcare, what needs to be reached by patients, practitioners, and researchers?",Consensus on treatment medications,Consensus on diagnostic criteria,Consensus on patient age groups,Consensus on well-functioning recovery,Consensus on well-functioning recovery,4,4.0
22486622,Depression,Diagnostic,What factor is significantly associated with higher depressive symptoms among older adults in Vietnam?,Higher education level,Good health,Urban residency,Greater material hardship,Greater material hardship,4,3.0
22309313,Depression,Diagnostic,What environmental factors are implicated in the relationship between parental depressive symptoms and sleep problems in children?,Genetic predisposition,Academic performance,Nutritional deficiencies,Parent-child conflict,Parent-child conflict,4,3.0
26429729,Depression,Preventive,What factor is suggested to reduce suicidal behavior in adolescents experiencing hopelessness and depression?,Spirituality,Counseling,Exercise,Medication,Spirituality,1,3.0
21940057,Depression,Factoid,"In patients with atrial fibrillation, which scale showed significantly higher scores indicating a greater risk of depression?",Mini Mental State Examination,Patient Health Questionnaire,Geriatric Depression Scale,Hamilton Depression Rating Scale,Geriatric Depression Scale,3,1.0
34540477,Depression,Preventive,What strategies should be implemented to mitigate the adverse outcomes associated with maternal depression during pregnancy?,Enhancing dietary intake,Increasing physical activity,Screening for mental health,Improving social networks,Screening for mental health,3,3.0
36001201,Depression,Diagnostic,What is the effect of low relationship control on mental health outcomes among women with HIV?,Enhanced ART adherence,No impact on mental health,Improved physical health,Increased odds of depression,Increased odds of depression,4,2.0
27534369,Depression,Prognostic,What do sleep disturbances in depressed youth potentially indicate about their mental health outcomes?,Increased risk of anxiety,Improved social functioning,Greater likelihood of recovery,Potential warning signs for suicidal behaviors,Potential warning signs for suicidal behaviors,4,4.0
35397334,Depression,Prognostic,What type of psychiatric disorders are likely to occur more frequently in adolescents exhibiting circadian rhythm disruptions?,Personality disorders,Bipolar disorder,Anxiety disorders,Eating disorders,Anxiety disorders,3,3.0
